Genus,2_4_May_B,2_6_Feb_B,2_6_May_A,3_1_Feb_A,3_1_May_A,3_2_Feb_A,3_2_May_A,3_3_Feb_A,3_3_May_A,3_4_Feb_A,3_4_May_A,3_5_Feb_A,3_5_May_A,3_6_Feb_A,3_6_May_A,4_1_Apr_B,4_2_Apr_B,4_2_Jan_A,4_3_Apr_B,4_3_Jan_A,4_4_Apr_B,4_4_Jan_A,4_5_Apr_B,4_5_Jan_A,4_6_Apr_B,4_6_Jan_A,5_1_Jan_A,5_2_Apr_A,5_2_Jan_A,5_3_Apr_A,5_3_Jan_A,5_4_Apr_A,5_4_Jan_A,5_5_Apr_B,5_5_Jan_A,5_6_Apr_B,5_6_Jan_A,6_1_May_A,8_7_May_A,8_8_May_A,9_1_Apr_A,9_1_Jan_A,9_2_Apr_A,9_2_Jan_A,9_3_Apr_A,9_3_Jan_A,6_2_May_A,6_6_Feb_A,6_6_May_B,7_1_Feb_A,7_1_May_B,7_2_Feb_B,7_2_May_A,7_3_Feb_A,7_3_May_B,7_4_Feb_B,7_4_May_B,7_5_Feb_A,7_5_May_A,7_6_May_B,8_1_Feb_A,8_2_Feb_A,8_2_May_A,8_3_Feb_A,8_3_May_A,8_4_Feb_A,8_4_May_A,8_5_Feb_B,8_5_May_A,8_6_May_A,8_7_Feb_B
Pirellulaceae,0,48,126,26,3,11,0,74,14,29,3,31,34,33,376,12,1,3,12,2,5,1,13,4,36,22,81,1,12,0,22,8,88,11,47,0,0,0,21,14,52,33,33,49,5,11,0,321,373,15,22,8,12,34,11,4,20,4,11,0,134,25,4,9,0,2,1,7,490,4,90
Gallionellaceae,0,0,0,14,0,58,0,0,2,12,0,0,0,7,0,2,42,35,164,355,90,168,0,0,0,0,73,0,44,0,76,0,179,0,0,0,2,0,0,2,0,0,1,20,1,4,332,0,0,156,32,59,38,403,65,280,106,0,0,0,0,33,0,3,0,0,9,0,1,0,0
SM2D13,0,1,0,47,0,40,0,0,0,26,5,0,0,4,2,6,6,3,4,1,7,5,11,4,7,10,0,0,0,0,1,0,2,0,0,1,1,0,0,52,99,53,82,62,0,0,0,24,21,14,34,18,32,26,43,42,15,4,4,0,0,478,113,1175,30,144,31,0,5,69,2
Obscuribacteraceae,164,0,0,20,0,1,0,0,0,6,0,0,0,1,0,2,0,1,2,14,0,3,0,2,0,0,7,81,10,8,9,105,12,43,24,0,0,0,0,0,13,7,8,6,0,0,0,0,0,117,13,80,10,85,24,21,11,1,0,0,55,823,267,317,22,3,1,2,61,134,1
Rubinisphaeraceae,0,7,6,1,0,2,0,21,1,6,0,4,4,3,56,246,122,48,355,12,276,21,345,86,8,17,0,0,0,0,4,0,2,0,7,0,0,0,38,1,26,21,33,12,0,1,0,5,3,0,7,9,2,0,0,0,0,9,259,0,24,0,0,0,0,0,0,2,1,0,19
Clade_III,0,1139,10,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,3,1,46,159,0,0,0,0,9,0,0,0,0,0,0,0,141,0,0,0,0,0,0,14,0,210,17,0,0,21,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0
TRA3-21,0,4,12,255,2,24,0,34,0,16,0,2,1,10,40,22,15,40,16,17,23,14,35,12,8,12,4,0,3,0,5,0,5,0,1,0,666,2,38,67,4,9,9,5,1,4,0,20,4,8,2,17,8,23,3,27,17,209,19,0,1,0,0,2,0,1,0,0,0,7,1
Rickettsiaceae,0,2,1,10,0,12,0,6,3,14,0,38,2,7,2,0,0,0,0,2,0,1,2,0,1,3,5,548,0,184,3,441,3,303,1,0,1,0,0,7,9,6,13,8,0,0,0,3,1,13,0,12,23,3,8,0,5,0,7,0,7,0,0,0,0,0,0,0,0,0,1
Isosphaeraceae,0,3,38,0,0,0,0,2,0,0,0,11,0,2,23,2,2,0,0,0,0,1,1,1,6,56,0,0,0,0,0,12,1,4,1,0,0,0,19,0,0,0,0,0,0,1,0,41,388,38,2,42,8,19,2,7,1,1,4,0,749,47,1,24,0,0,0,0,13,3,76
env.OPS_18,0,20,4,4,0,1,0,26,0,0,0,0,0,0,52,232,86,152,167,35,104,93,229,153,6,26,0,0,10,0,0,0,1,0,2,0,0,0,7,39,9,13,19,11,0,1,0,10,3,0,1,9,3,0,0,1,1,12,13,0,0,0,0,3,0,0,0,0,0,0,10
Sphingomonadaceae,0,0,2,1,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4,0,8,65,11,20,12,24,0,0,0,6,4,0,0,0,1,1,5,0,4,0,0,0,0,561,212,76,3,2,12,0,33,0,5
Diplorickettsiaceae,0,0,1,18,0,10,0,4,0,2,0,0,0,4,1,2,5,7,1,2,0,4,6,5,4,30,33,0,13,0,13,0,31,0,27,0,2,0,6,26,150,76,106,58,1,0,1,0,6,9,3,26,3,16,7,5,9,21,16,0,59,0,4,18,0,0,0,2,7,0,203
Verrucomicrobiaceae,0,5,1,0,0,0,0,2,1,5,1,0,4,2,10,0,0,0,0,0,0,0,0,0,56,80,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,2,0,4,15,6,0,7,0,3,15,537,0,3,2,0,0,0,0,0,2,0,0,284
Vermiphilaceae,0,2,3,5,0,0,1,9,0,1,0,0,2,1,4,0,0,0,0,0,0,0,0,0,6,10,102,0,74,0,66,0,120,0,109,1,0,0,3,8,29,10,27,30,3,3,0,4,15,11,11,18,3,3,6,9,9,3,14,0,76,1,0,12,0,0,0,1,42,0,159
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,4,187,52,1673,2,0,1,27,0
