SAMPLE ID,Sampling Date,Round,SAMPLE TYPE,TCM,BDCM,DBCM,TBM,DCIM,BCIM,DBIM,CDIM,BDIM,TIM,CP,"1,1-DCP","1,1,1-TCP",CAN,TCAN,DCAN,BAN,BCAN,IAN,DBAN,TCNM,DCAM,BCAM,TCAM,DBAM,MCAA,MBAA,DCAA,BCAA,TCAA,DBAA,BDCAA,CDBAA,TBAA,IAA,CIAA
5-4APR24,4/15/2024,2,DWDS,33.055,27.737,15.8712,2.1143,0.8775,0.7787,0.0921,0.0314,0.0757,0.0578,0.1412,0.0803,0.0705,0.0448,0.0101,0.5005,0.0524,0.7711,ND,4.0893,0.0178,0.268,3.2084,0.1504,1.0797,2.2189,0.7599,19.5273,2.718,10.5789,11.0477,3.0824,0.3928,0.7657,0.3664,ND
5-5APR24,4/15/2024,2,POE,28.4919,24.7209,14.2677,0.6551,0.7907,1.2733,0.0965,0.0328,0.0869,0.0539,0.1023,0.0628,0.1122,0.0447,0.0128,0.6291,0.0481,0.914,ND,3.9674,0.0195,0.3164,2.5532,0.1318,0.7774,1.716,0.6973,17.0018,2.1423,9.3948,9.5758,2.9917,0.336,0.921,0.1135,ND
5-6APR24,4/15/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-8APR24,4/15/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-1APR24,4/24/2024,2,DWDS,66.129,9.0204,1.4995,ND,2.5852,0.6469,ND,ND,0.0618,0.0605,0.382,0.1194,0.04,0.07,0.0154,0.0702,0.0188,0.0187,0.0177,0.1326,0.7728,0.1823,0.9297,0.2936,ND,1.2434,0.363,23.7047,0.1524,NQ,3.2544,0.1843,ND,0.1249,0.2421,ND
6-2APR24,4/24/2024,2,DWDS,13.296,3.6954,0.9635,ND,3.0959,2.7507,ND,ND,0.0653,0.0322,0.2244,0.1197,1.5633,0.108,0.0121,0.6361,0.0255,0.1803,0.0176,0.2371,0.3664,0.1636,ND,0.1189,0.0708,1.1515,0.2833,9.6088,0.1581,NQ,1.8679,0.1541,ND,0.1362,ND,ND
6-3APR24,4/24/2024,2,DWDS,9.0799,3.0353,0.8673,ND,2.5432,3.6366,ND,ND,0.07,0.0291,0.1446,0.1039,1.9223,0.1031,0.0104,0.579,0.0386,0.1812,0.0152,0.2231,0.2587,ND,0.2312,0.0776,0.1359,1.8279,0.2241,8.9107,0.1153,NQ,1.7582,0.0868,ND,0.123,ND,ND
6-4APR24,4/24/2024,2,DWDS,10.1924,3.3631,0.9445,ND,2.3225,3.5571,ND,ND,0.0241,0.0301,0.1433,0.1088,2.0677,0.1077,0.01,0.6191,0.0181,0.1925,0.0191,0.2235,0.286,ND,ND,0.0767,0.1118,1.407,0.2353,9.2257,0.1373,NQ,1.8452,0.0814,ND,0.1162,0.3714,ND
6-5APR24,4/24/2024,2,POE,6.3428,2.6968,0.9393,0.2624,3.6632,0.8102,0.1093,ND,0.0115,0.0094,0.0178,0.1204,1.4218,0.0845,0.0112,0.3969,0.0273,0.1613,0.0186,0.2166,0.1509,ND,0.2323,ND,ND,1.8597,0.2536,6.4935,0.1425,NQ,1.5754,0.0944,ND,0.1235,0.2567,ND
6-6APR24,4/24/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8APR24,4/24/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-1MAY24,5/20/2024,2,DWDS,28.4388,1.0363,0.0328,4.6775,0.304,0.1492,0.0449,ND,0.0169,0.0149,0.2114,0.4173,0.2933,0.0175,0.0731,0.7376,0.24,0.0082,0.006,0.083,0.0764,1.6064,ND,0.4108,ND,3.07,0.0741,19.3189,4.533,NQ,0.3705,0.1842,ND,0.2252,ND,ND
7-2MAY24,5/20/2024,2,DWDS,25.9844,1.0044,0.035,5.2096,0.3253,ND,0.0833,ND,0.021,0.0132,0.2363,0.4235,0.1496,0.0177,0.0122,0.6548,0.2455,0.0059,0.0098,0.0679,0.0649,1.8135,ND,0.259,ND,2.9719,0.0647,20.2194,4.4651,NQ,0.3854,0.264,ND,0.0746,ND,ND
7-3MAY24,5/20/2024,2,DWDS,26.0324,1,0.0295,4.4563,0.2877,ND,ND,ND,0.023,0.0133,0.2315,0.4377,0.2864,0.0174,0.0115,0.7704,0.2506,0.0057,0.0096,0.9064,0.0713,1.7042,ND,0.2788,ND,3.0912,0.0643,20.0088,4.4517,NQ,0.3481,0.1121,ND,0.0482,0.0137,ND
7-4MAY24,5/20/2024,2,DWDS,27.2564,0.9964,0.0343,5.182,0.3442,ND,ND,ND,0.0173,0.0107,0.2178,0.4173,0.2358,0.0192,0.0127,0.7469,0.2641,0.0072,0.0076,0.069,0.0671,1.0708,ND,0.2702,0.0485,3.4166,0.0924,18.5034,4.8629,NQ,0.3161,0.2269,ND,0.0819,0.0301,0.1436
7-5MAY24,5/20/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-6MAY24,5/20/2024,2,POE,24.4057,0.9559,0.0314,5.2199,0.2707,ND,ND,ND,0.025,0.0155,0.178,0.379,0.8808,0.0148,0.0134,0.7586,0.244,0.0065,0.013,0.0756,0.0895,1.1083,ND,0.2118,0.0756,3.0077,0.0822,16.5876,4.5991,NQ,0.3567,0.0576,ND,0.0559,ND,ND
7-8MAY24,5/20/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-1MAY24,5/29/2024,2,POE,3.2409,5.774,6.9433,7.993,0.9408,2.6979,0.1724,ND,0.0582,0.0781,0.0701,0.0343,0.0885,0.0242,0.0111,0.1547,0.5209,0.3367,ND,2.6128,0.0071,2.5493,0.1862,0.0194,0.3605,1.5717,0.5136,3.4455,3.7599,0.72,4.0436,0.6831,0.3959,0.4694,0.232,0.1659
8-2MAY24,5/29/2024,2,DWDS,8.0101,11.2762,11.6609,14.696,0.969,0.9022,0.1008,0.0492,0.0482,0.0102,0.0925,0.0311,0.0473,0.0312,0.006,0.1954,0.4674,0.4518,0.0276,3.6179,0.0119,0.765,0.6665,0.0467,0.746,1.1538,0.5627,6.0544,5.2671,1.2922,6.0948,0.7921,0.3709,0.4644,0.1207,ND
8-3MAY24,5/29/2024,2,DWDS,17.1652,13.4067,10.6532,11.8215,0.9602,0.5412,0.0974,0.046,0.0051,0.0215,0.092,0.021,0.0484,0.0261,0.0084,0.1369,0.4675,0.2343,0.0251,1.9813,0.0331,1.0445,0.8406,0.1035,0.8711,1.8784,0.5736,10.2873,5.8146,3.6653,8.0545,1.5729,0.7046,0.5353,0.2275,ND
8-4MAY24,5/29/2024,2,DWDS,20.3931,15.8265,12.5813,14.9744,0.9063,0.582,0.1218,0.0629,0.0507,0.0172,0.1418,0.0235,0.0289,0.0352,0.0072,0.1151,0.4682,0.1573,0.0255,1.3948,0.0447,1.9591,1.5143,0.1417,1.2198,1.7268,0.4326,7.7825,3.4001,3.6351,5.732,1.7382,0.8662,0.9309,0.117,ND
8-5MAY24,5/29/2024,2,POE,0.0517,1.9962,4.3163,11.0862,0.7222,1.682,0.091,0.0404,0.0223,ND,0.0441,0.0174,0.0266,0.0071,0.0032,0.0662,0.5523,0.2379,ND,4.2888,0.0046,0.4333,0.1023,ND,0.2625,1.2185,0.4553,1.4979,3.7516,0.1954,2.218,0.0819,ND,0.1768,0.099,ND
8-6MAY24,5/29/2024,2,DWDS,5.77,10.7873,20.9376,NQ,0.9197,0.5785,0.1747,0.0831,0.1066,0.0064,0.202,0.116,0.0357,0.0121,0.0058,0.0739,0.4747,0.11,0.0144,3.4797,0.0125,0.9072,1.5531,0.022,4.5934,1.9696,1.101,4.5225,11.1465,0.8838,5.8887,0.6621,0.6722,1.8826,0.1222,ND
8-7MAY24,5/29/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-8MAY24,5/29/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-10MAY24,5/29/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-1APR24,,2,DWDS,19.9507,3.5963,0.4945,1.5533,1.0076,0.2208,0.1253,0.0403,0.0554,0.0299,0.3385,0.1371,0.0227,0.0415,0.0132,0.1923,0.0672,0.0872,0.0241,0.1118,0.0528,ND,0.4264,0.0417,ND,3.7423,0.1948,21.4483,0.3847,2.8082,2.8392,0.2874,0.4928,0.0835,0.631,ND
9-2APR24,,2,POE,17.7957,3.1541,0.4286,ND,0.7835,0.1972,ND,0.046,0.0595,0.0294,0.3234,0.1986,0.039,0.0284,0.016,0.6139,0.0613,0.1625,3.8955,0.1256,0.0554,ND,0.278,0.0324,ND,3.8247,0.1644,18.5963,0.3207,2.6462,2.3779,0.146,0.4477,0.0799,0.9206,ND
9-3APR24,,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-5APR24,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1AUG24,8/27/2024,3,DWDS,15.591,9.5514,3.7513,8.1722,0.2996,6.5199,0.1129,0.0279,0.0326,0.0081,0.183,0.0798,1.0429,0.0711,0.0136,1.4037,0.0541,0.3712,0.0447,0.6157,0.0538,0.8998,0.4459,0.1511,0.2321,1.1351,0.8018,8.8644,1.0692,7.0718,3.27,2.6973,0.5838,0.464,0.0738,ND
2-2AUG24,8/27/2024,3,DWDS,12.7782,8.4024,3.507,11.7759,0.3454,6.4974,0.094,ND,0.0334,0.0104,0.1232,0.0801,0.9297,0.0657,0.0159,1.3684,0.0416,0.3934,0.0362,0.6582,0.0356,0.8203,0.3266,0.1267,0.0892,1.2282,1.0808,12.1808,1.5281,6.93,4.7852,2.6978,0.5704,0.4279,0.0797,ND
2-3AUG24,8/27/2024,3,DWDS,12.8597,8.5877,3.5931,9.9864,0.3478,5.5596,0.0857,ND,0.0216,0.0069,0.1389,0.0572,0.7942,0.0562,0.014,1.1599,0.0454,0.3575,0.0355,0.6177,0.053,0.7441,0.2821,0.1267,0.0908,1.3664,1.0499,11.5124,1.4583,6.3963,4.6298,2.546,0.6008,0.527,0.0903,ND
2-4AUG24,8/27/2024,3,DWDS,11.937,8.0662,3.3401,7.077,0.3097,6.1031,0.1042,ND,0.0149,0.0063,0.1077,0.0599,0.7841,0.0555,0.0127,1.1731,0.0397,0.318,0.034,0.5736,0.0286,0.7361,0.3592,0.1215,0.0898,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2-5AUG24,8/27/2024,3,POE,11.5255,7.9105,3.3645,5.3169,0.2968,5.7453,0.107,ND,0.0208,0.0076,0.1393,0.0623,0.7516,0.0546,0.0124,1.1216,0.0454,0.3188,0.0319,0.6161,0.0459,0.7421,0.3604,0.1349,0.1293,2.0011,0.9895,17.2941,1.5255,7.35,4.8203,2.3046,0.4266,0.538,0.1284,ND
2-6AUG24,8/27/2024,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-8AUG24,8/27/2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1 Round 3,,3,DWDS,7.8049,2.4938,0.5342,8.1467,0.2245,0.0604,0.1096,ND,ND,ND,0.5482,0.2132,0.0065,0.0153,0.0034,0.0471,0.0589,0.0086,0.0058,0.0163,0.051,2.5191,0.2459,0.0234,0.1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-2 Round 3,,3,DWDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-3 Round 3,,3,DWDS,8.3256,2.4108,0.5445,6.1699,0.7173,0.1016,0.0836,0.0161,0.0125,0.0057,0.9982,0.7754,0.019,0.0128,0.0046,0.1931,0.0431,0.0357,0.0038,0.0349,0.0631,1.1015,0.1986,0.0215,0.1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-4 Round 3,,3,DWDS,9.9689,2.3898,0.5046,3.4187,0.3047,0.07,ND,ND,ND,ND,0.4398,0.1992,0.0054,0.0146,0.0068,0.0395,0.0588,0.0068,ND,0.0117,0.0647,2.221,0.2881,0.013,0.0572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-5 Round 3,,3,POE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-6 Round 3,,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-8 Round 3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1AUG24,8/20/2024,3,DWDS,5.6587,1.6759,0.6714,8.5822,0.2884,0.077,0.0885,ND,ND,ND,0.3835,0.2067,0.0057,0.0095,0.0089,0.0888,0.0239,0.0323,ND,0.0525,0.0497,0.9148,0.3622,ND,0.0814,11.9721,0.5474,28.6157,ND,0.7998,2.5906,0.4197,0.2034,0.3932,0.1386,ND
4-2AUG24,8/20/2024,3,DWDS,6.6314,1.8836,0.7358,10.5673,0.3083,0.0751,0.0965,ND,ND,ND,0.3731,0.1608,0.0045,0.0105,0.0077,0.0649,0.03,0.0277,ND,0.0448,0.0563,1.2634,0.4349,ND,0.0507,15.264,0.606,27.5228,ND,0.9123,2.9568,0.5414,0.1988,0.3661,0.1398,ND
4-3AUG24,8/20/2024,3,DWDS,5.2022,1.3249,0.5156,8.6902,0.2689,ND,0.081,ND,ND,ND,0.2457,0.075,ND,0.0113,0.0073,0.0297,0.0412,0.0133,ND,0.0111,0.0447,1.6627,0.3388,ND,0.0811,5.1114,0.7378,19.6568,ND,1.0526,2.8365,0.267,0.2314,0.4339,0.1437,ND
4-4AUG24,8/20/2024,3,DWDS,6.5805,1.5211,0.5994,8.4044,0.4628,0.0917,0.1321,ND,0.0779,ND,0.2799,0.1124,0.0208,0.014,0.0098,0.0555,0.0731,0.017,ND,0.0111,0.0616,1.3972,ND,ND,0.1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-5AUG24,8/20/2024,3,POE,5.2114,1.5045,0.592,8.2456,0.3103,0.1263,0.0916,ND,0.0363,ND,0.444,0.3499,0.0169,0.008,0.0075,0.1519,0.021,0.0434,ND,0.0599,0.0537,0.9069,ND,ND,0.0634,5.8328,0.8304,16.3991,ND,1.0332,2.3824,0.273,0.2155,0.4804,0.1683,ND
4-6AUG24,8/20/2024,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-8AUG24,8/20/2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-1JUL24,7/30/2024,3,DWDS,6.15,3.8955,1.9386,ND,0.124,0.1224,ND,0.0136,0.0361,0.0068,0.1844,0.1248,0.005,0.0078,0.0026,0.3025,0.1007,0.1855,ND,0.7355,0.0148,0.1106,0.9265,0.0252,ND,0.5176,0.236,10.5917,1.2926,3.2378,3.7946,0.9277,0.3469,0.3366,0.0844,ND
5-2JUL24,7/30/2024,3,DWDS,6.5386,4.0676,1.9385,0.2927,0.1223,0.1084,ND,ND,0.0222,0.0899,0.183,0.1106,0.0049,0.0069,0.0026,0.2944,0.1067,0.1763,ND,0.7226,0.0143,0.0864,0.8076,0.0238,ND,0.3967,0.2567,10.7157,1.3171,3.291,3.805,0.9098,0.332,0.3438,0.0855,ND
5-3JUL24,7/30/2024,3,DWDS,7.4553,4.7598,2.2132,ND,0.1108,0.1915,ND,ND,0.019,0.0087,0.1661,0.1116,0.0171,0.0058,0.0021,0.4051,0.0579,0.2588,ND,0.9095,0.0084,0.1525,0.6192,0.0219,ND,0.3757,0.2544,8.2363,1.0932,2.6468,2.9887,0.5808,0.2933,0.1253,0.0752,ND
5-4JUL24,7/30/2024,3,DWDS,4.8704,3.129,1.5863,ND,0.0897,0.1253,ND,0.0144,0.0195,0.0095,0.181,0.105,0.0045,0.0067,0.0282,0.3189,0.0738,0.2005,ND,0.7555,0.0087,0.1066,0.7419,0.0237,ND,3.191,0.2259,12.3094,1.3197,3.2879,3.8042,0.7843,0.3144,0.2687,0.1105,ND
5-5JUL24,7/30/2024,3,POE,8.9052,5.5286,2.507,ND,0.0695,0.2638,0.0382,0.0074,0.035,0.0093,0.1535,0.1147,0.0227,0.0057,0.0023,0.427,0.0559,0.2501,ND,0.9612,0.0112,0.1209,0.6813,0.0293,ND,0.2661,0.2026,8.7292,1.156,2.9294,3.2243,0.7967,0.3215,0.3056,0.0775,ND
5-6JUL24,7/30/2024,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-8JUL24,7/30/2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-1 Round 3,7/23/2024,3,DWDS,73.8321,8.8071,1.3278,1.6618,0.0791,0.1016,ND,ND,0.0407,0.0292,0.1182,0.0724,0.0145,0.028,0.0185,0.0569,0.2631,0.0035,0.0093,0.013,1.5009,2.9028,0.6561,0.3911,0.0471,2.559,0.327,27.183,0.822,16.0016,3.9449,2.4827,0.421,0.1741,0.0842,ND
6-2 Round 3,7/23/2024,3,DWDS,18.6575,4.5074,1.106,0.6693,0.0921,0.3567,ND,ND,0.0308,0.021,0.1468,0.1121,0.1997,0.0313,0.0139,0.468,0.2554,0.1168,0.0084,0.1625,0.5564,0.6183,0.2735,0.103,0.0558,3.2382,0.2538,14.49,0.874,5.4927,2.3569,1.0277,0.3571,0.265,0.0949,ND
6-3 Round 3,7/23/2024,3,DWDS,15.3755,4.2461,1.0681,0.8798,0.1105,0.6616,ND,ND,0.0271,0.0187,0.1304,0.0876,0.488,0.0346,0.0146,0.5442,0.2528,0.1345,0.0079,0.2072,0.579,0.7044,0.2274,0.0861,0.0332,1.2764,0.2346,10.7768,0.8275,4.5925,2.0847,1.1366,0.3124,0.1203,0.0725,ND
6-4 Round 3,7/23/2024,3,DWDS,17.6969,4.5407,1.1279,1.1353,0.1219,0.4823,ND,ND,0.0363,0.0218,0.1711,0.1407,0.3578,0.0342,0.0142,0.5222,0.2716,0.1308,0.0072,0.1997,0.5848,0.6507,0.2556,0.1024,0.03,1.0296,0.2761,12.4188,0.8067,5.2589,2.1877,0.9835,0.2749,0.1048,0.2896,ND
6-5 Round 3,7/23/2024,3,POE,3.8942,1.5872,0.5127,1.8354,0.1703,2.497,ND,ND,0.031,0.0108,0.1316,0.1412,1.0549,0.0211,0.0131,0.4775,0.2448,0.0996,0.0079,0.1191,0.216,0.5708,0.1117,0.0614,0.034,1.3493,0.2301,16.3158,0.6789,5.1402,1.394,1.1187,0.2907,0.2976,0.2002,ND
6-6 Round 3,7/23/2024,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 Round 3,7/23/2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-1JUL24,7/29/2024,3,DWDS,26.3256,0.8933,0.0141,0.4745,0.524,0.075,0.0395,ND,ND,0.0064,0.217,0.3605,0.0241,0.0069,0.0174,0.5344,0.0709,0.0056,ND,0.0466,0.1108,0.9052,ND,0.191,ND,4.2802,0.1005,35.2652,0.3438,19.9716,0.545,0.4146,0.1964,0.1706,0.0973,0.296
7-2JUL24,29-Jul,3,DWDS,25.996,0.9186,0.0153,0.6107,0.0921,0.0578,0.0366,ND,ND,0.0071,0.1701,0.3033,0.0797,0.0084,0.0072,0.5538,0.0862,0.0055,ND,0.0553,0.0836,0.698,ND,0.19,ND,5.4088,0.0563,29.127,0.338,18.5207,0.4714,0.6603,0.1929,0.106,0.4275,0.1258
7-3JUL24,7/29/2024,3,DWDS,26.7201,0.9261,0.019,0.7185,0.0784,0.0508,0.0576,0.0149,0.0075,0.0102,0.1829,0.3087,0.0342,0.007,0.0076,0.5283,0.1019,0.0059,ND,0.0513,0.0902,0.7384,ND,0.206,ND,2.4704,0.0851,25.2433,0.3361,18.4974,0.4812,0.3564,0.167,0.1337,0.9157,ND
7-4JUL24,7/29/2024,3,DWDS,26.1344,0.9035,0.0164,0.7796,0.0766,0.0591,0.0378,ND,ND,0.0093,0.193,0.3025,0.032,0.0086,0.0079,0.5163,0.1209,0.0052,ND,0.0512,0.0923,0.5218,ND,0.1734,ND,4.4706,0.0627,25.8877,0.3324,18.2496,0.4419,0.5183,0.196,0.1304,2.0171,0.2826
7-5JUL24,7/29/2024,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-6JUL24,7/29/2024,3,POE,24.5934,0.9357,0.0159,0.4569,0.1001,0.0643,0.037,ND,ND,0.0093,0.1898,0.2965,0.2617,0.0074,0.007,0.616,0.0901,0.0072,ND,0.0497,0.0886,0.589,ND,0.2001,ND,4.3083,0.0905,29.9449,0.3384,19.5016,0.5134,0.3847,0.1978,0.1514,0.0654,0.0926
7-8JUL24,7/29/2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-1AUG24,8/27/2024,3,POE,0.529,1.7747,5.1815,12.0471,0.1965,2.0474,0.0507,0.0186,0.0272,ND,0.0282,0.0096,0.0253,0.004,0.0036,0.0389,0.0125,0.0645,ND,1.9275,ND,0.1815,ND,ND,0.0568,ND,0.4486,0.8175,3.268,0.1686,1.6004,0.129,0.1497,0.3872,0.1108,ND
8-2AUG24,8/27/2024,3,DWDS,1.081,3.4476,9.0463,14.9258,0.1759,0.8643,0.0591,0.0245,0.0434,0.0098,0.085,0.0121,0.0176,0.0028,0.0028,0.0384,0.0382,0.0436,ND,2.5815,ND,0.1087,0.1883,0.0072,0.39,ND,0.6343,1.3837,5.4463,0.3487,2.6282,0.4243,0.5053,1.8053,0.1392,1.3807
8-3AUG24,8/27/2024,3,DWDS,3.8261,9.5595,18.9172,24.0656,0.2541,0.7067,0.0566,ND,0.087,ND,0.049,0.004,0.0181,0.0037,0.0003,0.0341,0.0743,0.0705,ND,1.4324,ND,0.1837,0.6752,0.0096,1.6468,ND,0.8452,2.6768,8.0362,0.4187,4.486,0.4091,0.4626,1.4365,0.0613,0.1229
8-4AUG24,8/27/2024,3,DWDS,3.0409,8.3883,18.519,12.6591,0.123,0.5849,0.1363,0.0441,0.0709,ND,0.0412,0.0214,0.0842,0.0028,0.003,0.0301,0.0715,0.0614,ND,1.3462,ND,0.3202,0.9633,0.0088,1.8138,ND,0.8338,2.4089,7.7031,0.3804,4.2552,0.2535,0.2582,0.5933,0.084,ND
8-5AUG24,8/27/2024,3,POE,1.0124,1.7684,4.6252,14.3557,0.2209,3.4944,0.0572,ND,0.0147,ND,0.0607,0.0668,0.0436,0.0026,0.0033,0.0869,0.0143,0.1304,ND,3.6255,ND,0.2441,0.1645,ND,0.2028,ND,0.4654,0.907,3.717,0.143,1.6614,0.2362,0.2986,1.1833,0.053,ND
8-6AUG24,8/27/2024,3,DWDS,2.736,8.5428,19.476,25.5671,0.2053,0.1958,0.0904,0.0208,0.0685,0.0097,0.0904,0.0093,0.0166,0.0028,0.0031,0.0145,0.0906,0.0401,ND,1.0577,ND,0.1588,1.5008,0.0074,3.4054,ND,1.2352,2.5216,10.4892,0.3355,4.8889,0.3999,0.5695,2.7713,0.0699,ND
8-7AUG24,8/27/2024,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-8AUG24,8/27/2024,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-10AUG24,8/27/2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-1JUL24,,3,DWDS,199.6702,53.9892,12.6828,3.6878,0.085,1.9503,0.0355,0.1132,0.5201,0.7105,0.5522,0.3342,0.1168,0.0518,0.0189,0.8462,0.2029,0.3347,0.0344,1.1286,0.0929,15.8916,8.801,1.2197,1.2024,4.5333,0.7765,72.5971,3.6936,35.0779,20.04,7.6557,1.2875,0.5048,0.1985,ND
9-2JUL24,,3,POE,126.8517,40.5469,9.9375,4.6377,0.0992,1.3057,ND,0.1131,0.2815,0.5747,0.4736,0.4074,0.3744,0.0471,0.0209,2.9715,0.2087,1.0245,0.0329,1.9979,0.053,7.6842,4.5706,0.6966,0.7397,3.6661,0.7228,58.8492,3.3528,30.0698,17.1408,7.2829,1.2842,0.6499,0.1289,1.0876
9-3JUL24,,3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-5JUL24,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1NOV24,11/21/2024,4,DWDS,6.2857,5.0923,2.4975,10.923,0.0142,5.5247,0.0692,ND,0.0325,0.0041,0.1248,0.0502,0.5789,0.0309,0.0121,0.7674,0.0296,0.1137,0.0162,0.3937,0.0109,0.3125,ND,0.104,0.069,ND,0.5659,6.2191,0.8602,4.7305,2.5549,1.771,0.2843,0.0368,0.0516,ND
2-2NOV24,11/21/2024,4,DWDS,4.867,4.2241,2.1509,10.0081,0.0096,5.0212,0.0467,ND,0.0295,0.0032,0.0884,0.0492,0.4197,0.0248,0.0109,0.6371,0.0273,0.098,0.0106,0.3252,0.0094,0.3194,ND,0.0835,0.0447,ND,0.5909,5.678,0.8721,3.8342,2.4988,1.5849,0.2666,0.0385,0.0463,ND
2-3NOV24,11/21/2024,4,DWDS,4.6628,4.138,1.9076,11.1959,0.0112,4.4471,0.0335,ND,0.027,0.0039,0.0561,0.0551,0.3868,0.0182,0.0108,0.6358,0.0253,0.0898,0.0065,0.2803,0.0085,0.2738,ND,0.0726,0.0337,ND,0.5171,5.2739,0.7797,4.024,2.3521,1.5906,0.2458,0.035,0.0484,ND
2-4NOV24,11/21/2024,4,DWDS,5.0716,4.4419,2.0701,9.1566,0.0111,4.3121,0.0593,ND,0.0297,0.0035,0.1589,0.0608,0.4395,0.0378,0.0149,0.6838,0.0136,0.0886,0.0111,0.2645,0.0094,0.3368,ND,0.0766,0.0711,ND,0.5343,5.4867,0.7727,4.0083,2.3456,1.2819,0.1961,0.0279,0.0489,ND
2-5NOV24,11/21/2024,4,POE,5.1019,4.531,2.0517,10.4062,0.0083,4.2958,0.0883,ND,0.0278,0.0036,0.178,0.058,0.45,0.0393,0.0134,0.7125,0.0287,0.1018,0.011,0.3057,0.0082,0.3678,ND,0.0863,0.0545,ND,0.2794,5.4657,0.7647,4.2404,2.382,1.7346,0.2602,0.0386,0.0504,ND
2-6NOV24,11/21/2024,4,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-8NOV24,11/21/2024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1DEC24,12/5/2024,4,DWDS,4.1097,1.3952,0.5232,0.6103,0.0547,0.0697,0.0683,0.0223,0.0198,0.0065,0.5486,0.3607,0.0245,0.0045,0.0196,0.0757,0.0378,0.0081,0.0074,0.0217,0.0672,0.1944,0.0804,0.0048,0.0747,0.4987,0.1848,9.9556,0.2215,0.7266,0.9313,0.1648,0.0508,0.0504,0.0839,ND
